date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2018-01-01,38,,,,
2018-01-02,49,,,,
2018-01-03,52,,,,
2018-01-04,46,,,,
2018-01-05,47,,,,
2018-01-06,41,,,,
2018-01-07,41,74.0,False,0.74,30.34
2018-01-08,49,74.0,,0.74,36.26
2018-01-09,42,74.0,,0.74,31.08
2018-01-10,44,74.0,,0.74,32.56
2018-01-11,53,74.0,,0.74,39.22
2018-01-12,39,74.0,,0.74,28.86
2018-01-13,34,74.0,,0.74,25.16
2018-01-14,33,95.0,False,0.95,31.349999999999998
2018-01-15,31,95.0,,0.95,29.45
2018-01-16,74,95.0,,0.95,70.3
2018-01-17,100,95.0,,0.95,95.0
2018-01-18,64,95.0,,0.95,60.8
2018-01-19,47,95.0,,0.95,44.65
2018-01-20,36,95.0,,0.95,34.199999999999996
2018-01-21,33,64.0,False,0.64,21.12
2018-01-22,40,64.0,,0.64,25.6
2018-01-23,41,64.0,,0.64,26.240000000000002
2018-01-24,38,64.0,,0.64,24.32
2018-01-25,36,64.0,,0.64,23.04
2018-01-26,36,64.0,,0.64,23.04
2018-01-27,31,64.0,,0.64,19.84
2018-01-28,26,68.0,False,0.68,17.68
2018-01-29,29,68.0,,0.68,19.720000000000002
2018-01-30,34,68.0,,0.68,23.12
2018-01-31,36,68.0,,0.68,24.48
2018-02-01,59,68.0,,0.68,40.120000000000005
2018-02-02,80,68.0,,0.68,54.400000000000006
2018-02-03,50,68.0,,0.68,34.0
2018-02-04,41,80.0,False,0.8,32.800000000000004
2018-02-05,80,80.0,,0.8,64.0
2018-02-06,100,80.0,,0.8,80.0
2018-02-07,58,80.0,,0.8,46.400000000000006
2018-02-08,51,80.0,,0.8,40.800000000000004
2018-02-09,45,80.0,,0.8,36.0
2018-02-10,34,80.0,,0.8,27.200000000000003
2018-02-11,30,44.0,False,0.44,13.2
2018-02-12,35,44.0,,0.44,15.4
2018-02-13,33,44.0,,0.44,14.52
2018-02-14,34,44.0,,0.44,14.96
2018-02-15,33,44.0,,0.44,14.52
2018-02-16,32,44.0,,0.44,14.08
2018-02-17,26,44.0,,0.44,11.44
2018-02-18,31,37.0,False,0.37,11.47
2018-02-19,29,37.0,,0.37,10.73
2018-02-20,30,37.0,,0.37,11.1
2018-02-21,29,37.0,,0.37,10.73
2018-02-22,28,37.0,,0.37,10.36
2018-02-23,27,37.0,,0.37,9.99
2018-02-24,22,37.0,,0.37,8.14
2018-02-25,22,29.0,False,0.29,6.38
2018-02-26,25,29.0,,0.29,7.249999999999999
2018-02-27,26,29.0,,0.29,7.539999999999999
2018-02-28,23,29.0,,0.29,6.67
2018-03-01,68,29.0,,0.29,19.72
2018-03-02,67,29.0,,0.29,19.43
2018-03-03,64,29.0,,0.29,18.56
2018-03-04,61,31.0,False,0.31,18.91
2018-03-05,70,31.0,,0.31,21.7
2018-03-06,72,31.0,,0.31,22.32
2018-03-07,83,31.0,,0.31,25.73
2018-03-08,83,31.0,,0.31,25.73
2018-03-09,89,31.0,,0.31,27.59
2018-03-10,66,31.0,,0.31,20.46
2018-03-11,66,32.0,False,0.32,21.12
2018-03-12,76,32.0,,0.32,24.32
2018-03-13,72,32.0,,0.32,23.04
2018-03-14,77,32.0,,0.32,24.64
2018-03-15,100,32.0,,0.32,32.0
2018-03-16,80,32.0,,0.32,25.6
2018-03-17,75,32.0,,0.32,24.0
2018-03-18,89,28.0,False,0.28,24.92
2018-03-19,77,28.0,,0.28,21.560000000000002
2018-03-20,70,28.0,,0.28,19.6
2018-03-21,70,28.0,,0.28,19.6
2018-03-22,70,28.0,,0.28,19.6
2018-03-23,61,28.0,,0.28,17.080000000000002
2018-03-24,47,28.0,,0.28,13.160000000000002
2018-03-25,48,29.0,False,0.29,13.919999999999998
2018-03-26,71,29.0,,0.29,20.59
2018-03-27,75,29.0,,0.29,21.75
2018-03-28,65,29.0,,0.29,18.849999999999998
2018-03-29,78,29.0,,0.29,22.619999999999997
2018-03-30,89,29.0,,0.29,25.81
2018-03-31,64,29.0,,0.29,18.56
2018-04-01,84,28.0,False,0.28,23.520000000000003
2018-04-02,100,28.0,,0.28,28.000000000000004
2018-04-03,82,28.0,,0.28,22.96
2018-04-04,84,28.0,,0.28,23.520000000000003
2018-04-05,81,28.0,,0.28,22.680000000000003
2018-04-06,83,28.0,,0.28,23.240000000000002
2018-04-07,69,28.0,,0.28,19.32
2018-04-08,58,26.0,False,0.26,15.08
2018-04-09,76,26.0,,0.26,19.76
2018-04-10,75,26.0,,0.26,19.5
